train_loss_step,epoch,step,val_loss_step,val_loss_epoch,train_loss_epoch
0.011618301272392273,0,9,,,
0.00813991017639637,0,19,,,
0.0054743941873312,0,29,,,
0.005163661669939756,0,39,,,
0.004565779119729996,0,49,,,
0.004493807442486286,0,59,,,
0.0034370089415460825,0,69,,,
0.003571786917746067,0,79,,,
0.004286124370992184,0,89,,,
0.003138675820082426,0,99,,,
0.0035674613900482655,0,109,,,
0.004063548520207405,0,119,,,
0.003177278907969594,0,129,,,
0.0029023929964751005,0,139,,,
0.0029918581712991,0,149,,,
,,0,0.003531776135787368,,
,,1,0.003457701299339533,,
,,2,0.004992704838514328,,
,,3,0.003267517779022455,,
,,4,0.003801767248660326,,
,,5,0.003627704456448555,,
,,6,0.0038488260470330715,,
,,7,0.0038198758848011494,,
,,8,0.003037434071302414,,
,,9,0.003984727896749973,,
,,10,0.00603100610896945,,
,,11,0.003315460868179798,,
,,12,0.004090772941708565,,
,,13,0.0030814094934612513,,
,,14,0.0038171785417944193,,
,,15,0.0043180761858820915,,
,,16,0.0054032448679208755,,
,,17,0.003977144602686167,,
,,18,0.007488357834517956,,
,0,149,,0.004103922285139561,
,0,149,,,0.006930750794708729
0.002867818810045719,1,159,,,
0.003537227166816592,1,169,,,
0.0030596123542636633,1,179,,,
0.0026043273974210024,1,189,,,
0.003002308076247573,1,199,,,
0.0034288843162357807,1,209,,,
0.00295684183947742,1,219,,,
0.0028348583728075027,1,229,,,
0.003171768272295594,1,239,,,
0.0025459150783717632,1,249,,,
0.002493939595296979,1,259,,,
0.002688399516046047,1,269,,,
0.002413378795608878,1,279,,,
0.002697074320167303,1,289,,,
0.0025639901868999004,1,299,,,
,,19,0.0030038864351809025,,
,,20,0.0028944832738488913,,
,,21,0.0038098380900919437,,
,,22,0.002870721509680152,,
,,23,0.003105555661022663,,
,,24,0.0032719899900257587,,
,,25,0.0031374830286949873,,
,,26,0.003125112969428301,,
,,27,0.002688436070457101,,
,,28,0.0029303759802132845,,
,,29,0.004302729852497578,,
,,30,0.00281673576682806,,
,,31,0.0032869523856788874,,
,,32,0.0026759719476103783,,
,,33,0.003268943866714835,,
,,34,0.0034214798361063004,,
,,35,0.0037801722064614296,,
